Peter Ahola
Mike Allison
Ruslan Batyrshin
Ken Baumgartner
Barry Beck
Brian Benning
Aki Berg
Daniel Berthiaume
Scott Bjugstad
Rob Blake
Arto Blomsten
Philippe Boucher
Francois Breault
Kevin Brown
Rob Brown
Randy Burridge
Rod Buskas
Dan Bylsma
Bob Carpenter
Jimmy Carson
Rene Chapdelaine
Shane Churla
Jeff Chychrun
Paul Coffey
Pat Conacher
Sylvain Couturier
Rob Cowie
Doug Crossman
Keith Crowder
Troy Crowder
Phil Crowe
Dan Currie
Byron Dafoe
Dale DeGray
Mike Donnelly
John Druce
Steve Duchesne
Donald Dufresne
Ron Duguay
Craig Duncanson
Todd Elik
Paul Fenton
Ray Ferraro
Steven Finn
Mark Fitzpatrick
Marc Fortier
Jim Fox
Grant Fuhr
Randy Gilhen
Mario Gosselin
David Goverde
Tony Granato
Paul Guay
Bob Halkidis
Gilles Hamel
Mark Hardy
Rick Hayward
Glenn Healy
Jim Hiller
Justin Hocking
Jim Hofford
Doug Houda
Kelly Hrudey
Charlie Huddy
Pauli Jaks
Bob Janecyk
Bobby Jay
Craig Johnson
Matt Johnson
Brad Jones
Kyosti Karjalainen
Steve Kasper
Dean Kennedy
Dmitri Khristich
Rick Knickle
Chris Kontos
Mike Krushelnyski
Robert P. Kudelski
Jari Kurri
Nathan LaFayette
Eric Lacroix
Tom Laidlaw
Robert Lang
Ian Laperriere
Steve Larouche
Eric Lavigne
Dominic Lavoie
Guy Leveque
Igor Liba
Mikael Lindholm
Lonnie Loach
Robert Logan
Mikko Makela
Wayne McBean
Shawn McCosh
Hubie McDonough
Shawn McEachern
John McIntyre
Brian McReynolds
Marty McSorley
Roland Melanson
Corey Millen
Jay Miller
Jaroslav Modry
Rob Murphy
Bernie Nicholls
Mattias Norstrom
Sean O'Donnell
Jim Paek
Dave Pasin
Yanic Perreault
Michel Petit
Larry Playfair
Barry Potomski
Marc Potvin
Petr Prajsler
Dan Quinn
Keith Redmond
Steve Richmond
Larry Robinson
Luc Robitaille
Warren Rychel
Tomas Sandstrom
Ron Scott
Brandy Semchuk
Jeff Shevalier
Gary Shuchuk
Ilkka Sinisalo
John Slaney
Dennis Smith
Chris Snell
Robb Stauber
Kevin Stevens
Jamie Storr
Darryl Sydor
Phil Sykes
Patrice Tardif
Dave Taylor
Dave Thomlinson
Brent Thompson
Jim Thomson
Rick Tocchet
Kevin Todd
John Tonelli
Tim Tookey
Denis Tsygurov
Vladimir Tsyplakov
Jan Vopat
Gord Walker
Dixon Ward
Tim Watters
Steve Weeks
Sean Whyte
Jim Wiemer
Brian Wilks
Darryl Williams
Vitali Yachmenev
Alexei Zhitnik
Doug Zmolek
